Iter,MT,Time,Alt,Temp,Humid,Press,aX,aY,aZ,SysTemp
805,615.865,1016,30,28.867,22.448,998.326,1.01197,0.0009768,0.111355,12.6
806,616.71,1017,36,29.1736,23.0591,996.87,1.99267,0.108425,-0.135775,4.7
807,617.46,1018,291,29.2643,23.4552,989.297,1.99267,0.507936,-0.0673992,-6.1
808,617.714,1018,428,29.3045,23.1046,984.528,1.99267,0.256899,0.152381,-5.2
809,617.964,1018,547,29.4352,22.7868,980.057,1.99267,0.0351648,0.300855,18.7
810,618.219,1019,626,29.4303,23.3636,977.197,-0.788278,0.0761905,0.197314,13.6
811,618.477,1019,689,29.3396,23.4813,975.042,-0.788278,0.02442,0.0967033,-6.1
812,618.81,1019,761,29.3396,23.2512,972.481,-0.969963,0.0576312,0.0849817,-5.2
813,619.068,1019,806,29.4504,22.9916,970.756,-0.771673,0.0185592,0.126007,15.4
814,619.324,1020,864,29.4504,23.3168,968.882,-0.776556,0.0166056,0.133822,-5.2
815,619.576,1020,913,29.3699,23.4288,967.02,-0.639805,0.043956,0.1221,-5.2
816,619.827,1020,951,29.3699,22.6857,965.68,-0.60464,0.0957265,0.179731,4.2
817,620.079,1020,990,29.4705,23.1737,964.329,-0.545055,0.0722832,0.117216,15.4
818,620.334,1021,1040,29.4754,22.3048,962.598,-0.48254,0.0849817,0.123077,-4.7
819,620.689,1021,1099,29.4,22.3715,960.468,-0.466911,0.0468864,0.0654457,-3.8
820,620.951,1021,1131,29.4604,22.8478,959.4,-0.407326,-0.0205128,0.0205128,17.8
821,621.208,1022,1169,29.4654,22.4757,958.088,-0.407326,0.043956,0.00879121,14
822,621.466,1022,1206,29.385,22.9196,956.721,-0.34188,0.0136752,0.0800976,4.2
823,621.723,1022,1238,29.39,22.651,955.598,-0.307692,0.0058608,0.0332112,-4.7
824,621.976,1022,1263,29.4805,22.2929,954.764,-0.26569,0.0429792,0.0947497,19.2
825,622.328,1023,1305,29.4654,22.2189,953.477,-0.223687,0.0273504,0.078144,-4.7
826,622.587,1023,1330,29.39,22.0624,952.322,-0.246154,-0.0595849,0.0429792,11.2
827,622.849,1023,1355,29.385,23.0224,951.496,-0.21978,0.029304,0.034188,11.2
828,623.104,1023,1372,29.4805,22.5384,950.906,-0.190476,-0.0302808,0.0673992,19.6
829,623.361,1024,1398,29.4553,22.4907,950.046,-0.165079,0.0273504,0.0429792,4.2
830,623.619,1024,1417,29.3748,22.4395,949.394,-0.16801,-0.039072,0.0029304,-3.8
831,623.97,1024,1434,29.4754,22.7162,948.761,-0.142613,-0.0009768,0.0478632,20.1
832,624.229,1025,1687,29.4906,22.218,946.984,-1.87546,-0.368254,-0.231502,19.2
833,624.485,1025,1449,29.2793,22.1281,948.137,-0.0908425,-0.41221,0.0752137,1.4
834,624.745,1025,1434,29.3396,22.824,948.562,-0.471795,-0.794139,0.356532,6.1
835,625.002,1025,1457,29.4604,22.728,948.092,-0.0410256,-1.21221,0.400488,15.9
836,625.257,1026,1438,29.4654,22.5737,948.605,-0.297924,0.296947,0.0791208,16.8
837,625.515,1026,1454,29.3498,23.1899,948.14,-0.0840049,0.471795,0.505006,0.9
838,625.867,1026,1441,29.3447,23.4811,948.502,0.0166056,0.389743,0.517704,9.8
839,626.122,1026,1430,29.4754,22.9904,948.809,0.0429792,0.316483,0.159218,9.8
840,626.377,1027,1434,29.3447,23.5331,948.681,-0.179731,0.343834,-0.0996337,0.9
841,626.639,1027,1427,29.3547,23.7091,948.966,-0.162149,0.68083,-0.204151,0.5
842,626.894,1027,1407,29.3748,23.5099,949.72,-0.711111,0.581197,-0.063492,19.2
843,627.149,1027,1392,29.4855,23.6416,950.134,-0.452259,0.188523,0.309646,15.4
844,627.502,1028,1386,29.3498,23.2617,950.392,-1.4906,-0.499145,0.753114,-1.4
845,627.756,1028,1373,29.4352,22.8725,950.726,-1.08523,0.362393,-0.567521,20.6
846,628.014,1028,1362,29.4855,22.9155,951.164,-1.2503,0.33895,-0.235409,13.1
847,628.266,1029,1357,29.4855,23.0073,951.481,-1.07057,0.646642,0.221734,9.8
848,628.52,1029,1349,29.4102,22.6275,951.645,-0.87619,-0.786325,-0.167033,2.8
849,628.774,1029,1335,29.4955,22.3379,952.1,-0.895726,0.239316,0.0605616,10.8
850,629.131,1029,1323,29.4754,22.2015,952.515,-1.08229,-0.372161,0.355555,11.2
851,629.387,1030,1316,29.4201,23.1021,952.775,-0.784371,-0.404395,0.332112,-0.5
852,629.643,1030,1311,29.3949,23.4047,953.019,-0.582173,-0.636874,0.549939,-0.9
853,629.901,1030,1294,29.4955,22.8414,953.516,-0.601709,-0.497192,0.258852,17.3
854,630.158,1030,1285,29.4855,23.2127,953.883,-0.899633,-0.370207,0.402442,11.2
855,630.42,1031,1280,29.4,22.702,954.031,-0.68376,-0.535287,0.473748,20.1
856,630.669,1031,1269,29.4102,22.4901,954.426,-0.673992,-0.467888,0.385836,0.5
857,631.023,1031,1253,29.4906,23.0186,954.938,-0.870329,-0.380952,0.400488,15.9
858,631.278,1032,1245,29.4855,22.264,955.229,-0.763858,-0.495238,0.513797,13.6
859,631.529,1032,1240,29.3949,22.3119,955.462,-0.874237,-0.511843,0.270574,-0.5
860,631.782,1032,1230,29.4102,22.7747,955.72,-0.829304,-0.550915,0.478632,-2.4
861,632.035,1032,1221,29.5057,22.4061,956.08,-1.02466,-0.559707,0.456166,17.3
862,632.291,1033,1208,29.4906,22.4863,956.481,-0.818559,-0.620269,0.267643,14.5
863,632.639,1033,1198,29.4051,22.5134,956.794,-0.983638,-0.437607,0.388767,3.3
864,632.889,1033,1187,29.4201,21.3861,957.1,-1.20147,-0.462027,0.374115,15.9
865,633.137,1033,1178,29.5057,22.5325,957.593,-1.01001,-0.442491,0.446398,13.1
866,633.388,1034,1172,29.4102,22.0042,957.786,-0.801954,-0.469841,0.41221,0
867,633.637,1034,1165,29.4051,22.0153,958.072,-0.934798,-0.383883,0.441514,-0.5
868,633.888,1034,1153,29.4102,21.3234,958.379,-1.07839,-0.359463,0.550915,17.8
869,634.238,1035,1141,29.4906,21.9607,958.937,-1.05397,-0.595848,0.403419,17.8
870,634.492,1035,1136,29.4051,21.61,959.008,-1.03052,-0.757997,0.252991,0.5
871,634.739,1035,1128,29.4252,21.1976,959.315,-1.01392,-0.783394,-0.197314,5.6
872,634.99,1035,1116,29.5107,22.0743,959.731,-0.879121,-0.75116,0.0420024,18.7
873,635.242,1036,1110,29.4906,21.5943,960.023,-0.80293,-0.759951,-0.246154,12.2
874,635.496,1036,1098,29.4102,21.5064,960.321,-0.780464,-0.609524,-0.252015,0.5
875,635.748,1036,1088,29.415,21.6892,960.656,-0.789255,-0.206105,-0.448352,-0.9
876,636.066,1036,1073,29.5006,20.9762,961.308,-1.06764,-0.0429792,-0.0410256,18.7
877,636.322,1037,1065,29.5006,20.7881,961.543,-1.09206,0.336996,0.0429792,17.8
878,636.573,1037,1064,29.4201,21.5918,961.572,-0.892796,0.0332112,0.673016,0.5
879,636.825,1037,1054,29.415,21.1112,961.955,-0.555799,-0.348718,0.760928,0
880,637.077,1037,1042,29.5057,21.5138,962.369,-1.03541,-0.441514,0.428816,14
881,637.327,1038,1036,29.5107,21.7485,962.55,-1.0188,-0.394627,0.667155,12.6
882,637.668,1038,1024,29.415,21.6767,962.919,-1.09304,-0.684737,0.38779,-1.4
883,637.919,1038,1014,29.4252,21.5678,963.149,-1.18193,-0.834188,-0.0605616,20.1
884,638.173,1038,1004,29.5207,21.1137,963.69,-1.09011,-0.673016,0.0253968,17.8
885,638.425,1039,1002,29.4402,20.6486,963.773,-0.599756,-0.99243,0.670085,0.9
886,638.678,1039,992,29.4252,20.957,964.108,-0.639805,-0.963125,-0.0673992,10.8
887,638.93,1039,979,29.4303,20.875,964.494,-1.12723,-0.528449,0.45812,20.1
888,639.278,1040,967,29.5006,21.6975,964.931,-1.10671,-0.227595,0.570451,13.1
889,639.53,1040,965,29.4201,21.5693,965.113,-0.934798,-0.452259,0.499145,-0.5
890,639.783,1040,955,29.415,21.301,965.408,-0.99536,-0.53724,0.306715,-0.9
891,640.031,1040,944,29.5057,21.2505,965.829,-1.01099,-0.521611,0.333089,17.8
892,640.284,1041,938,29.5006,20.639,965.994,-0.907448,-0.815629,0.139682,12.6
893,640.533,1041,933,29.4504,21.1515,966.17,-1.0989,-0.596825,0.261783,-0.5
894,640.788,1041,927,29.4303,21.054,966.407,-0.9768,-0.684737,0.262759,-0.9
895,641.127,1041,909,29.5156,20.9593,967.049,-0.889865,-0.53724,0.404395,17.8
896,641.376,1042,904,29.5057,21.0314,967.211,-1.06178,-0.463004,0.389743,-2.4
897,641.63,1042,897,29.4252,21.2203,967.495,-1.04908,-0.513797,0.517704,5.1
898,641.877,1042,887,29.4402,20.7219,967.782,-0.97387,-0.311599,0.435653,16.4
899,642.13,1042,875,29.5107,20.8158,968.218,-0.920146,-0.349695,0.46105,18.7
900,642.381,1043,869,29.5107,20.4273,968.452,-0.980708,-0.260806,0.369231,9.3
901,642.728,1043,859,29.4102,20.5288,968.864,-0.904517,-0.254945,0.239316,0.9
902,642.98,1043,844,29.5156,20.4495,969.253,-1.09304,-0.0517704,0.0156288,12.6
903,643.234,1044,839,29.5156,20.7705,969.488,-1.17314,-0.0224664,0.329182,11.7
904,643.487,1044,833,29.4553,20.5563,969.657,-0.63492,-0.02442,0.449328,11.7
905,643.737,1044,824,29.4303,20.7624,970.031,-0.903541,-0.298901,-0.07326,-0.5
906,643.988,1044,810,29.5258,20.6781,970.476,-0.89768,-0.0263736,0.083028,19.2
907,644.24,1045,804,29.5156,20.8616,970.759,-1.09109,-0.0019536,0.180708,15.9
908,644.585,1045,797,29.4201,20.2764,971.007,-0.857631,-0.138706,0.0849817,-2.8
909,644.838,1045,788,29.4252,21.0655,971.338,-0.878144,-0.227595,0.256899,0.5
910,645.088,1045,773,29.5156,20.7243,971.809,-0.884981,-0.135775,0.10061,20.6
911,645.344,1046,767,29.5156,20.7245,972.164,-0.880098,-0.172894,-0.0166056,-1.9
912,645.598,1046,758,29.4402,20.8136,972.337,-0.87326,-0.0752137,0.083028,10.3
913,645.851,1046,750,29.4402,20.7157,972.573,-0.938705,-0.014652,-0.0117216,-0.9
914,646.206,1047,735,29.5207,20.7756,973.17,-0.991453,-0.058608,0.0361416,16.4
915,646.459,1047,731,29.4352,20.2593,973.274,-1.11746,-0.0547008,0.144566,-2.4
916,646.712,1047,726,29.4402,20.6817,973.487,-0.879121,-0.0527472,0.498168,7.9
917,646.965,1047,716,29.5357,19.974,973.826,-0.858608,-0.213919,0.513797,17.3
918,647.224,1048,705,29.5207,20.9186,974.193,-0.850793,-0.424908,0.548962,13.6
919,647.477,1048,701,29.4453,20.842,974.435,-1.00317,-0.292063,0.347741,0
920,647.827,1048,689,29.4453,20.0527,974.689,-0.99243,-0.301831,0.553846,0.5
921,648.083,1048,676,29.5258,20.7754,975.206,-0.794139,-0.347741,0.441514,13.1
922,648.338,1049,666,29.5156,20.404,975.573,-0.813675,-0.253968,0.252991,9.3
923,648.591,1049,659,29.4402,20.3847,975.907,-0.931868,-0.214896,-0.078144,-0.9
924,648.849,1049,650,29.4504,20.3613,976.214,-0.965079,-0.104518,0.0058608,-1.9
925,649.111,1049,638,29.5408,20.9177,976.603,-0.942613,-0.111355,-0.0459096,13.1
926,649.369,1050,631,29.5309,19.9174,976.857,-0.77265,-0.138706,0.0673992,0
927,649.72,1050,619,29.4453,19.9776,977.248,-0.99536,-0.0742368,-0.083028,3.7
928,649.975,1050,609,29.5357,19.8824,977.673,-0.984615,-0.0507936,0.302808,15
929,650.234,1051,596,29.5309,20.7237,978.062,-0.903541,-0.147497,0.19536,15.9
930,650.492,1051,591,29.4504,20.133,978.248,-0.892796,-0.233455,-0.1221,-0.9
931,650.748,1051,583,29.4553,19.8978,978.589,-1.08034,0.063492,-0.101587,0
932,651.007,1051,568,29.5459,20.5056,979.085,-0.954334,-0.0361416,-0.0713064,15.4
933,651.367,1052,561,29.5258,19.7858,979.323,-0.890842,-0.203175,-0.083028,1.4
934,651.623,1052,552,29.4504,19.8181,979.616,-0.993406,0.083028,-0.199267,0.5
935,651.876,1052,546,29.4504,20.3666,979.903,-0.969963,0.236386,0.327228,11.7
936,652.135,1052,534,29.5309,19.608,980.306,-0.968009,0.0371184,0.354579,13.1
937,652.389,1053,527,29.4402,19.698,980.455,-0.968986,0.0332112,0.531379,10.3
938,652.648,1053,519,29.4402,20.384,980.835,-1.19853,-0.0840049,0.392674,0
939,652.968,1053,511,29.5309,19.7398,981.186,-1.1409,0.1221,0.769719,10.3
940,653.219,1054,501,29.5258,20.6211,981.52,-0.646642,-0.173871,0.738461,15.4
941,653.474,1054,489,29.4352,20.2071,981.93,-0.981685,-0.245177,0.279365,0.5
942,653.727,1054,480,29.4504,19.7142,982.279,-1.1282,-0.0820512,0.319414,-0.9
943,653.982,1054,468,29.5408,20.3573,982.688,-1.01294,-0.0967033,0.429792,19.6
944,654.24,1055,452,29.5309,20.2376,983.084,-1.0061,-0.357509,0.00976801,9.3
945,654.495,1055,448,29.4402,20.1838,983.382,-1.00806,-0.0713064,-0.0302808,-1.4
946,654.854,1055,436,29.4402,20.7674,983.805,-0.706227,-0.158242,0.10061,-0.9
947,655.11,1055,425,29.5357,20.0715,984.205,-0.935775,-0.14652,-0.242247,9.8
948,655.365,1056,419,29.5357,20.3096,984.34,-1.01099,-0.0302808,0.0625152,0
949,655.621,1056,409,29.4553,20.2751,984.669,-1.03932,-0.0927961,0.2442,-0.5
950,655.875,1056,399,29.4654,20.052,985.127,-1.06081,-0.180708,-0.0175824,13.6
951,656.132,1056,387,29.5357,20.3001,985.491,-1.08913,-0.0205128,-0.0498168,15.9
952,656.497,1057,383,29.4504,20.7043,985.681,-0.835165,-0.117216,0.596825,-1.4
953,656.754,1057,371,29.4504,20.355,986.046,-0.719902,-0.262759,0.226618,-2.4
954,657.011,1057,359,29.551,20.4539,986.527,-0.962149,-0.240293,0.256899,15.4
955,657.268,1058,347,29.5408,19.5849,986.943,-1.06081,0.0625152,0.00879121,20.1
956,657.529,1058,341,29.4553,19.7488,987.189,-1.09206,-0.175824,0.0713064,0
957,657.785,1058,333,29.4604,20.2291,987.481,-1.00317,-0.0742368,0.204151,12.6
958,658.145,1058,317,29.5309,19.768,988.041,-0.872283,-0.0664224,-0.0937729,14
959,658.408,1059,315,29.4604,19.9721,988.17,-0.974847,-0.150427,0.374115,20.1
960,658.666,1059,306,29.4553,19.6399,988.456,-0.692552,-0.167033,0.251038,0
961,658.924,1059,289,29.4705,19.7643,988.825,-0.943589,0.0449328,0.039072,10.3
962,659.176,1059,280,29.551,20.5059,989.305,-1.09792,-0.0742368,0.0498168,17.3
963,659.435,110,274,29.4553,20.0449,989.512,-1.0442,-0.190476,-0.0156288,-1.4
964,659.694,110,268,29.4654,20.6178,989.804,-1.15751,-0.178755,0.19536,-0.9
965,660.047,110,254,29.5459,19.6192,990.264,-0.83028,-0.297924,0.255922,18.7
966,660.302,111,239,29.551,19.9449,990.756,-0.942613,-0.19536,-0.034188,13.6
967,660.554,111,234,29.4604,19.8344,990.999,-0.895726,-0.225641,-0.068376,-1.4
968,660.809,111,228,29.4654,19.8513,991.229,-1.11648,0.078144,0.0742368,-0.5
969,661.064,111,213,29.5559,20.4992,991.691,-1.14774,0.0214896,-0.106471,15.9
970,661.32,112,205,29.5408,20.6658,992.031,-1.07155,-0.142613,0.345787,7.5
971,661.668,112,198,29.4604,19.8117,992.319,-1.09304,-0.392674,0.68083,13.1
972,661.921,112,186,29.4654,19.8787,992.74,-0.625152,-0.542124,0.376068,15
973,662.175,112,170,29.551,19.7785,993.28,-1.09499,-0.0664224,-0.379975,20.1
974,662.43,113,168,29.4604,19.7087,993.417,-0.940659,0.184615,0.343834,-0.9
975,662.683,113,155,29.4805,20.0629,993.772,-0.996336,-0.204151,0.00683761,0.5
976,662.941,113,144,29.4855,20.2994,994.299,-0.97094,-0.151404,0.0253968,15.4
977,663.2,113,141,29.551,20.3912,994.36,-1.01978,0.237363,0.174847,15.9
978,663.547,114,133,29.4654,20.1831,994.667,-0.756044,-0.148474,0.454212,4.2
979,663.804,114,125,29.4754,19.7543,994.956,-1.00415,-0.141636,0.328205,0.5
980,664.063,114,113,29.5609,20.2937,995.408,-1.01099,-0.0507936,0.431746,16.4
981,664.315,115,101,29.5408,20.4079,995.814,-0.955311,-0.29011,0.0927961,15.9
982,693.65,1134,-12.6848,29.4705,21.4753,999.951,0.029304,0.969963,0.228571,14
